seed,action_index,x,scalar_noise,scalar_noise_sha256,generated_before_methods,config_sha256
0,0,0.0,-0.0018411143253263956,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,1,0.0625,-0.011386762477266384,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,2,0.125,-0.009203687673903909,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,3,0.1875,0.002559776435838655,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,4,0.25,-0.0014417058002181016,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,5,0.3125,-0.012359195233543863,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,6,0.375,-0.018073687993595308,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,7,0.4375,-0.00804630237680884,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,8,0.5,-0.001912840097523063,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,9,0.5625,-0.003442582952607016,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,10,0.625,0.0009117328274725026,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,11,0.6875,-0.009991413258444166,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,12,0.75,0.007119038806780792,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,13,0.8125,0.012551760004333432,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,14,0.875,-0.0057626077668925585,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,15,0.9375,0.007301347854588508,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
0,16,1.0,-0.0003254563970592511,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
